entidad_norm,id_entidad_pt,entidad_pt,regimen,periodo_pt,n_personas_pt,ingreso_mediana_pt,ingreso_p25_pt,ingreso_p75_pt,masa_mensual_pt,n_convocatorias_cas,salario_oferta_mediana_cas,gap_oferta_vs_ejecutado,fuente_pt_url
MUNICIPALIDAD PROVINCIAL DE BELLAVISTA (MP-BELLAVISTA),12200,Municipalidad Provincial de Bellavista (MP-BELLAVISTA),CAS,2025-12,19,2100.0,2000.0,2600.0,52050.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=12200&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE MARAS (MDM),11055,Municipalidad Distrital de Maras (MDM),CAS,2025-12,15,3700.0,2200.0,3700.0,48100.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11055&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE CUSIPATA,11045,Municipalidad Distrital de Cusipata,CAS,2026-02,13,3453.34,3266.67,4200.0,47542.03,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11045&in_anno_consulta=2026&ch_mes_consulta=02&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE LA VICTORIA - CHICLAYO (MDLV),12111,Municipalidad Distrital de La Victoria - Chiclayo (MDLV),CAS,2026-04,19,1864.19,1494.19,2364.19,47108.66,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=12111&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
GOBIERNO REGIONAL PASCO (GOREPA),10157,GOBIERNO REGIONAL PASCO (GOREPA),CAS,2025-12,153,302.0,301.0,302.0,45896.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10157&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=6
UNIDAD EJECUTORA LIMA SUR (UELS),18854,Unidad Ejecutora Lima Sur (UELS),CAS,2026-05,12,2864.19,2564.19,3864.19,41970.28,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=18854&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
DIRECCION REGIONAL DE LA PRODUCCION SAN MARTIN (DIREPRO-SM),13817,Direccion Regional de la Producción San Martín (DIREPRO-SM),CAS,2026-04,9,4250.0,4250.0,4250.0,41328.38,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13817&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
INPE-DIRECCION REGIONAL CENTRO (INPE-DRC),17406,INPE-DIRECCION REGIONAL CENTRO (INPE-DRC),CAS,2026-05,15,2564.19,1864.19,2864.19,39887.85,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=17406&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE EL TALLAN,11551,Municipalidad Distrital de El Tallan,CAS,2025-12,11,3800.0,3500.0,3800.0,38200.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11551&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
UNIDAD EJECUTORA INSTITUTOS SUPERIORES DE EDUCACION PUBLICA REGIONAL DE PIURA (UEISEPRP),14206,UNIDAD EJECUTORA INSTITUTOS SUPERIORES DE EDUCACIÓN PÚBLICA REGIONAL DE PIURA (UEISEPRP),CAS,2026-02,6,6364.19,6364.19,6364.19,38185.14,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=14206&in_anno_consulta=2026&ch_mes_consulta=02&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE MARCAVELICA (MDM),11595,Municipalidad Distrital de Marcavelica (MDM),CAS,2025-06,13,3050.0,2133.45,3400.0,38116.9,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11595&in_anno_consulta=2025&ch_mes_consulta=06&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
UNIDAD DE GESTION EDUCATIVA LOCAL DE ISLAY (UGELI),14193,UNIDAD DE GESTION EDUCATIVA LOCAL DE ISLAY (UGELI),CAS,2025-11,16,2864.19,1864.19,2864.19,38080.06,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=14193&in_anno_consulta=2025&ch_mes_consulta=11&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=2
INPE-DIRECCION REGIONAL NOR ORIENTE SAN MARTIN (INPE-DRNOSM),16377,INPE-DIRECCION REGIONAL NOR ORIENTE SAN MARTIN (INPE-DRNOSM),CAS,2025-10,21,1500.0,1500.0,1680.0,38040.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=16377&in_anno_consulta=2025&ch_mes_consulta=10&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=3
UNIDAD DE GESTION EDUCATIVA DE PAUCAR DEL SARA SARA (UGELPSS),76971,UNIDAD DE GESTION EDUCATIVA DE PAUCAR DEL SARA SARA (UGELPSS),CAS,2025-12,17,2164.19,2064.19,2308.19,37993.34,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=76971&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE CAYALTI (MDC),11417,Municipalidad Distrital de Cayalti (MDC),CAS,2025-12,12,3182.1,1494.19,4464.19,35293.52,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11417&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE CHACLACAYO (MDCH),10055,Municipalidad Distrital de Chaclacayo (MDCH),CAS,2025-09,19,1750.0,1650.0,1850.0,35145.95,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10055&in_anno_consulta=2025&ch_mes_consulta=09&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
UNIDAD EJECUTORA N 305 - EDUCACION LAMAS (UGEL - LAMAS),15325,UNIDAD EJECUTORA N° 305 - EDUCACION LAMAS (UGEL - LAMAS),CAS,2025-12,9,3064.19,3064.19,5741.44,34651.38,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=15325&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE NAMBALLE (MD - NAMBALLE),10896,Municipalidad Distrital de Namballe (MD - NAMBALLE),CAS,2026-04,11,3190.68,3190.68,3393.0,34258.04,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10896&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
