id_entidad,entidad,categoria,regimen,n,mediana,p25,p75,maximo,masa_mensual
87,Servicio Nacional de Meteorología e Hidrología del Perú (SENAMHI),Organismo público,CAS,425,3400,1200.0,5000.0,11000,1537852
14293,PROGRAMA NACIONAL DE INFRAESTRUCTURA EDUCATIVA (PRONIED),Educación,CAS,424,8364,5364.19,10364.19,15600,3430494
69969,Oficina de Gestión de Servicios de Salud Alto Huallaga (OGESS - AH),Salud,CAS,422,2606,1942.58,3000.97,10013,1277067
13290,Hospital San Jose del Callao (Hospital San Jose),Salud,CAS,420,2364,2164.19,4845.83,10564,1485735
10122,Municipalidad Distrital de Villa El Salvador (MUNIVES),Municipalidad,CAS,420,2064,1864.19,2064.19,15564,1074217
10035,Universidad Nacional Federico Villarreal (UNFV),Universidad,CAS,415,2550,1964.19,2864.19,7100,1073643
13720,Sistema Metropolitano de la Solidaridad (SISOL),Organismo público,CAS,413,1995,1522.48,3325.88,15600,1256901
13933,"Superintendencia Nacional de Control de Servicios de Seguridad, Armas, Municiones y Explosivos de Us (SUCAMEC)",Regulador/Superintendencia,CAS,412,3740,2997.72,4821.41,14135,1825303
13800,Hospital Santa Rosa (HSR),Salud,CAS,410,3009,2150.16,3264.19,12364,1448815
115,Patronato del Parque de Las Leyendas - Felipe Benavides Barreda (PATPAL - FBB),Organismo público,CAS,406,2012,1850.0,2800.0,13364,1140902
13181,Instituto Nacional Materno Perinatal (INMP),Salud,CAS,406,3169,2164.19,3864.19,12364,1470042
10411,Universidad Nacional Hermilio Valdizan (UNHEVAL),Universidad,CAS,405,2164,1564.19,2864.19,8864,974388
10440,Universidad Nacional de Huancavelica (UNH),Universidad,CAS,383,2000,1690.19,2750.0,8250,912864
13151,Hospital Carlos Lanfranco La Hoz (HCLLH),Salud,CAS,376,3200,2163.9,3264.19,15600,1259697
13860,Programa de Desarrollo Productivo Agrario Rural (AGRO RURAL),Organismo público,CAS,370,3364,2364.19,6364.19,15600,1714594
10011,Ministerio de Defensa (MINDEF),Ministerio,CAS,367,6364,3964.19,8364.19,67860,2580813
18818,Corte Superior de Justicia de Lima Sur (CSJLimaSur),Justicia/Fiscalía,CAS,366,2936,2314.19,3336.19,11572,1107741
13687,Autoridad Nacional del Servicio Civil (SERVIR),Organismo público,Ley Servir,365,8791,6315.92,9851.64,25000,3052319
14301,Organismo Técnico de la Administración de los Servicios de Saneamiento (OTASS),Organismo público,CAS,364,10289,8364.19,11364.19,18724,3537996
13134,Servicio de Administración Tributaria (SAT),Organismo público,CAS,364,2200,1500.0,3500.0,8000,982033
10481,Municipalidad Distrital de Cerro Colorado (MDCC),Municipalidad,CAS,361,2100,1800.0,2664.19,7750,932751
10227,Corte Superior de Piura (D.J. PIURA),Justicia/Fiscalía,CAS,359,3336,2314.19,4364.19,10564,1248992
10198,Corte Superior de Justicia de Ancash (CSJA),Justicia/Fiscalía,CAS,358,3336,2864.19,3834.19,6186,1151922
13220,Hospital de Tingo María (HTM),Salud,CAS,358,2164,2164.19,3264.19,12364,997962
13299,Direccion Regional de Salud Pasco (DIRESA - PASCO),Salud,CAS,357,2304,2064.19,3164.19,12264,1008969
10230,Municipalidad Distrital de Pueblo Libre - LIMA (MD-PUEBLO LIBRE),Municipalidad,CAS,352,2264,2100.0,2900.0,13864,1082490
82,Oficina de Normalización Previsional (ONP),Organismo público,CAS,351,3364,2704.19,3864.19,15600,1304632
191,Programa Nacional de Saneamiento Urbano (PNSU),Organismo público,CAS,348,9364,8364.19,10018.72,15600,2997191
10037,Universidad Nacional Agraria La Molina (UNALM),Universidad,CAS,347,1389,1389.19,2064.19,10264,726909
23873,HOSPITAL DE VENTANILLA (HDV-VENTANILLA),Salud,CAS,342,2064,1764.19,3964.19,9264,1061849
10938,Municipalidad Distrital de Bellavista - Callao (MUDIBE),Municipalidad,CAS,342,2000,1400.0,3025.0,11400,952862
10940,Municipalidad Distrital de La Perla (MDLP),Municipalidad,CAS,342,1564,1494.19,2050.0,6300,681560
14318,SUPERINTENDENCIA NACIONAL DE EDUCACION SUPERIOR UNIVERSITARIA (SUNEDU),Regulador/Superintendencia,CAS,335,8800,6130.62,10627.7,13964,2748163
13937,Unidad de Gestión Educativa Local N° 01 (UGEL01),Educación,CAS,323,2500,1350.0,3500.0,8000,890288
2022,Jurado Nacional de Elecciones (JNE),Justicia/Fiscalía,CAS,322,8364,6364.19,8364.19,15600,2475470
10206,Corte Superior de Justicia del Callao (CSJCL),Justicia/Fiscalía,CAS,322,3264,2576.19,3834.19,8364,1033426
10204,Corte Superior de Justicia de Ayacucho (D.J. AYACUCHO),Justicia/Fiscalía,CAS,322,2936,2504.19,3336.19,10792,1050130
13944,Programa Nacional de Saneamiento Rural (PNSR),Organismo público,CAS,317,8864,5364.19,9364.19,16120,2486828
14284,Servicio Nacional de Certificación Ambiental para las Inversiones Sostenibles (Senace),Organismo público,CAS,315,9364,7122.05,9364.19,15864,2685039
124,Servicio Nacional de Capacitación para la Industria de la Construcción (SENCICO),Organismo público,CAS,312,11953,9664.19,12707.05,17088,3581247
14205,Dirección Regional de Educación Lima Metropolitana (DRELM),Educación,CAS,312,4364,2564.19,6364.19,15600,1449527
10148,Gobierno Regional Junín (GRJ),Gobierno Regional,CAS,311,2750,2250.0,4600.0,10000,1119787
175,Fondo de Cooperación para el Desarrollo Social (FONCODES),Organismo público,CAS,308,5364,3864.19,6364.19,27305,1776807
39943,UNIDAD EJECUTORA SALUD HUALGAYOC BAMBAMARCA (UESH-BCA),Salud,CAS,304,2564,2364.19,3464.19,8564,956733
739,Municipalidad Provincial de Cajamarca (MPC),Municipalidad,CAS,297,3214,2414.19,3414.19,12200,1088431
10210,CORTE SUPERIOR DE JUSTICIA DEL SANTA (D.J. SANTA),Justicia/Fiscalía,CAS,297,4786,4026.19,5314.19,8364,1394778
10067,Municipalidad Distrital de Magdalena del Mar - LIMA (MDMM),Municipalidad,CAS,296,2175,1500.0,2500.0,14500,880758
10166,Gobierno Regional San Martín (GORESAM),Gobierno Regional,CAS,295,3900,3050.0,4900.0,12300,1347489
12041,Municipalidad Provincial de Leoncio Prado (MPLP),Municipalidad,CAS,293,1800,1542.49,2310.87,5500,629305
10052,Municipalidad Distrital de Barranco (MD-BARRANCO),Municipalidad,CAS,291,1800,1656.0,2200.0,13264,830165
10060,Municipalidad Distrital de Independencia - LIMA (MDI),Municipalidad,CAS,290,2010,1774.19,2574.19,13200,867657
13182,Instituto Nacional de Rehabilitación (INR),Organismo público,CAS,289,3264,3140.0,5090.0,15070,1306852
18631,UNIDAD EJECUTORA N° 311 - EDUCACION HUANUCO (UE311HCO),Organismo público,CAS,283,2564,1914.19,3064.19,5861,728545
